,latlon,count,lon,lat
131,"('-115.3433333', '47.5972222')",2,-115.3433333,47.5972222
132,"('-73.7275', '41.2041667')",3,-73.7275,41.2041667
133,"('-117.790616', '34.361389')",1,-117.790616,34.361389
134,"('-91.6897222', '44.7186111')",1,-91.6897222,44.7186111
135,"('-117.161084', '32.715738')",4,-117.161084,32.715738
136,"('-97.0541667', '28.0202778')",2,-97.0541667,28.0202778
137,"('-122.293619', '47.167845')",1,-122.293619,47.167845
138,"('-79.0119444', '40.6680556')",1,-79.0119444,40.6680556
139,"('-70.8125', '42.9072222')",5,-70.8125,42.9072222
140,"('-92.2275', '36.3805556')",1,-92.2275,36.3805556
141,"('-80.3822222', '36.0213889')",5,-80.3822222,36.0213889
142,"('-84.638562', '39.563109')",1,-84.638562,39.563109
143,"('-93.5175', '34.6930556')",1,-93.5175,34.6930556
144,"('-77.4013889', '35.5288889')",2,-77.4013889,35.5288889
145,"('-117.5894444', '33.6625')",2,-117.5894444,33.6625
146,"('-118.1847222', '33.86')",1,-118.1847222,33.86
147,"('-112.7380556', '32.2686111')",1,-112.7380556,32.2686111
148,"('-124.04321', '46.308989')",1,-124.04321,46.308989
149,"('-72.4466667', '41.9852778')",4,-72.4466667,41.9852778
150,"('-118.4155556', '33.9191667')",7,-118.4155556,33.9191667
151,"('-81.8630556', '36.7602778')",1,-81.8630556,36.7602778
152,"('-122.8763889', '45.7544444')",12,-122.8763889,45.7544444
153,"('-98.6661111', '36.805')",2,-98.6661111,36.805
154,"('-100.5505556', '42.8727778')",1,-100.5505556,42.8727778
155,"('-116.638199', '45.371271')",1,-116.638199,45.371271
156,"('-81.8625', '41.01')",1,-81.8625,41.01
157,"('-114.1594444', '46.2469444')",3,-114.1594444,46.2469444
158,"('-80.2486111', '34.2180556')",2,-80.2486111,34.2180556
159,"('-94.168531', '33.967338')",1,-94.168531,33.967338
160,"('-122.191401', '47.999027')",2,-122.191401,47.999027
161,"('-108.3008333', '45.8994444')",1,-108.3008333,45.8994444
162,"('-75.3241667', '39.8811111')",2,-75.3241667,39.8811111
163,"('-84.8408333', '33.9236111')",7,-84.8408333,33.9236111
164,"('-96.2133333', '35.9436111')",1,-96.2133333,35.9436111
165,"('-95.8552778', '32.2047222')",8,-95.8552778,32.2047222
166,"('-76.935498', '40.291694')",1,-76.935498,40.291694
167,"('-86.1794444', '37.9291667')",1,-86.1794444,37.9291667
168,"('-80.0916667', '38.2744444')",1,-80.0916667,38.2744444
169,"('-120.1427778', '47.3772222')",1,-120.1427778,47.3772222
170,"('-83.379321', '35.003424')",1,-83.379321,35.003424
171,"('-79.3558333', '41.3327778')",1,-79.3558333,41.3327778
172,"('-118.8091667', '34.005')",15,-118.8091667,34.005
173,"('-90.4430556', '43.185')",1,-90.4430556,43.185
174,"('-110.9677778', '32.1994444')",1,-110.9677778,32.1994444
175,"('-74.575', '39.2775')",11,-74.575,39.2775
176,"('-81.6719444', '39.2611111')",2,-81.6719444,39.2611111
177,"('-88.8988889', '40.5638889')",1,-88.8988889,40.5638889
178,"('-96.365157', '30.235296')",1,-96.365157,30.235296
179,"('-91.7711111', '37.9513889')",17,-91.7711111,37.9513889
180,"('-72.1444444', '43.6405556')",1,-72.1444444,43.6405556
181,"('-122.0502778', '47.08')",4,-122.0502778,47.08
182,"('-82.650915', '38.596378')",1,-82.650915,38.596378
183,"('-73.514292', '40.725934')",1,-73.514292,40.725934
184,"('-112.395758', '33.639099')",2,-112.395758,33.639099
185,"('-75.8775', '41.8338889')",3,-75.8775,41.8338889
186,"('-69.7225', '44.5402778')",3,-69.7225,44.5402778
187,"('-93.3788889', '44.6744444')",1,-93.3788889,44.6744444
188,"('-92.6894444', '47.8525')",3,-92.6894444,47.8525
189,"('-85.1405556', '38.8588889')",1,-85.1405556,38.8588889
190,"('-89.9663889', '36.5569444')",3,-89.9663889,36.5569444
191,"('-83.3763889', '42.4644444')",2,-83.3763889,42.4644444
192,"('-159.3219444', '22.0783333')",7,-159.3219444,22.0783333
193,"('-105.0808333', '39.7047222')",39,-105.0808333,39.7047222
194,"('-84.8608333', '35.6919444')",4,-84.8608333,35.6919444
195,"('-72.261389', '41.885278')",3,-72.261389,41.885278
196,"('-80.358226', '27.273049')",32,-80.358226,27.273049
197,"('-78.6925', '42.9038889')",4,-78.6925,42.9038889
198,"('-80.0522222', '26.5863889')",7,-80.0522222,26.5863889
199,"('-86.5488889', '37.59')",1,-86.5488889,37.59
200,"('-121.9605556', '38.0291667')",2,-121.9605556,38.0291667
201,"('-113.7263889', '35.3691667')",1,-113.7263889,35.3691667
202,"('-72.8430556', '40.9502778')",3,-72.8430556,40.9502778
203,"('-89.2475', '30.3155556')",5,-89.2475,30.3155556
204,"('-124.0919444', '46.8102778')",1,-124.0919444,46.8102778
205,"('-82.0094444', '35.6838889')",7,-82.0094444,35.6838889
206,"('-83.8702778', '30.545')",1,-83.8702778,30.545
207,"('-101.2544444', '37.9405556')",2,-101.2544444,37.9405556
208,"('-91.9775', '37.9261111')",1,-91.9775,37.9261111
209,"('-80.83', '27.2436111')",12,-80.83,27.2436111
210,"('-80.603611', '28.388333')",1,-80.603611,28.388333
211,"('-97.952377', '30.306098')",1,-97.952377,30.306098
212,"('-70.1872222', '43.8005556')",6,-70.1872222,43.8005556
213,"('-121.5025', '43.6705556')",3,-121.5025,43.6705556
214,"('-83.0966667', '34.6647222')",2,-83.0966667,34.6647222
215,"('-162.4594444', '60.8969444')",1,-162.4594444,60.8969444
216,"('-81.3588889', '33.2447222')",3,-81.3588889,33.2447222
217,"('-123.7327778', '48.1366667')",1,-123.7327778,48.1366667
218,"('-74.692646', '43.072293')",1,-74.692646,43.072293
219,"('-71.843599', '44.910363')",1,-71.843599,44.910363
220,"('-73.865', '42.6291667')",3,-73.865,42.6291667
221,"('-123.0583333', '43.7977778')",7,-123.0583333,43.7977778
222,"('-75.3086111', '39.8877778')",2,-75.3086111,39.8877778
223,"('-121.2372222', '44.4247222')",1,-121.2372222,44.4247222
224,"('-95.615819', '30.099121')",1,-95.615819,30.099121
225,"('-116.227858', '35.93181')",9,-116.227858,35.93181
226,"('-79.4380556', '36.0955556')",9,-79.4380556,36.0955556
227,"('-71.576894', '41.652202')",2,-71.576894,41.652202
228,"('-75.1344444', '40.2491667')",4,-75.1344444,40.2491667
229,"('-76.1477778', '43.0480556')",39,-76.1477778,43.0480556
230,"('-75.6927778', '38.2027778')",3,-75.6927778,38.2027778
231,"('-82.73235', '35.392333')",1,-82.73235,35.392333
232,"('-85.3905556', '31.2230556')",11,-85.3905556,31.2230556
233,"('-84.9311111', '39.6355556')",1,-84.9311111,39.6355556
234,"('-90.5627778', '38.2322222')",3,-90.5627778,38.2322222
235,"('-122.7', '47.0566667')",1,-122.7,47.0566667
236,"('-70.8152778', '41.3436111')",1,-70.8152778,41.3436111
237,"('-71.3583333', '42.1675')",3,-71.3583333,42.1675
238,"('-119.0502778', '48.9461111')",1,-119.0502778,48.9461111
239,"('-80.965002', '41.106606')",3,-80.965002,41.106606
240,"('-78.4341667', '40.4233333')",3,-78.4341667,40.4233333
241,"('-105.549867', '40.286578')",1,-105.549867,40.286578
242,"('-87.6947222', '36.3183333')",2,-87.6947222,36.3183333
243,"('-122.2966667', '37.8869444')",3,-122.2966667,37.8869444
244,"('-86.1319444', '36.1002778')",1,-86.1319444,36.1002778
245,"('-77.4291667', '38.8402778')",9,-77.4291667,38.8402778
246,"('-75.7841667', '40.165')",1,-75.7841667,40.165
247,"('-88.0716667', '41.9102778')",2,-88.0716667,41.9102778
